date,portfolio_value,cash,positions_value,total_invested,total_return,total_return_pct,positions_count,MDY_price,IJH_price,VO_price,SNDX_price,SNDX_pnl,SNDX_pnl_pct,EPAM_price,EPAM_pnl,EPAM_pnl_pct,STRL_price,STRL_pnl,STRL_pnl_pct,IDCC_price,IDCC_pnl,IDCC_pnl_pct
2025-09-23,122323.56,0,122323.56,100000,22323.56,0.2232,4,600.08,65.57,292.39,14.845,-16267.65,-0.6507,154.01,-5255.13,-0.2102,372.125,4072.27,0.1629,349.78,39774.07,1.591
2025-09-24,119800.59,0,119800.59,100000,19800.59,0.198,4,595.33,65.17,291.69,15.03,-16158.82,-0.6464,156.4,-4948.72,-0.1979,343.95,1871.09,0.0748,345.8,39037.04,1.5615
2025-09-25,117243.35,0,117243.35,100000,17243.35,0.1724,4,591.32,64.69,289.48,15.03,-16158.82,-0.6464,149.995,-5769.87,-0.2308,338.7,1460.94,0.0584,338.64,37711.11,1.5084
2025-09-26,119375.99,0,119375.99,100000,19375.99,0.1938,4,597.73,65.4,292.97,15.67,-15782.35,-0.6313,151.75,-5544.87,-0.2218,343.97,1872.66,0.0749,344.685,38830.56,1.5532
2025-09-29,120386.2,0,120386.2,100000,20386.2,0.2039,4,597.29,65.16,293.58,15.58,-15835.29,-0.6334,154.37,-5208.97,-0.2084,342.47,1755.47,0.0702,349.245,39675.0,1.587
2025-09-30,118829.6,0,118829.6,100000,18829.6,0.1883,4,596.96,65.13,293.68,15.4,-15941.18,-0.6376,150.77,-5670.51,-0.2268,339.61,1532.03,0.0613,345.11,38909.26,1.5564
2025-10-01,119635.46,0,119635.46,100000,19635.46,0.1964,4,599.03,65.44,293.78,15.67,-15782.35,-0.6313,152.22,-5484.62,-0.2194,338.2,1421.88,0.0569,348.195,39480.56,1.5792
2025-10-02,122176.64,0,122176.64,100000,22176.64,0.2218,4,599.33,65.59,294.66,15.47,-15900.0,-0.636,152.64,-5430.77,-0.2172,351.68,2475.0,0.099,356.575,41032.41,1.6413
2025-10-03,118946.5,0,118946.5,100000,18946.5,0.1895,4,602.4,65.71,295.41,15.585,-15832.35,-0.6333,154.19,-5232.05,-0.2093,349.39,2296.09,0.0918,338.66,37714.81,1.5086
2025-10-06,119170.59,0,119170.59,100000,19170.59,0.1917,4,602.69,65.89,295.97,16.36,-15376.47,-0.6151,152.665,-5427.56,-0.2171,353.05,2582.03,0.1033,336.92,37392.59,1.4957
2025-10-07,119201.68,0,119201.68,100000,19201.68,0.192,4,595.07,65.21,294.12,16.45,-15323.53,-0.6129,149.86,-5787.18,-0.2315,348.2,2203.12,0.0881,340.79,38109.26,1.5244
2025-10-08,123885.36,0,123885.36,100000,23885.36,0.2389,4,602.83,65.86,295.11,16.51,-15288.24,-0.6115,151.3,-5602.56,-0.2241,381.68,4818.75,0.1928,350.77,39957.41,1.5983
2025-10-09,122076.63,0,122076.63,100000,22076.63,0.2208,4,595.56,65.12,293.14,17.8,-14529.41,-0.5812,150.34,-5725.64,-0.229,357.49,2928.91,0.1172,347.775,39402.78,1.5761
2025-10-10,117417.9,0,117417.9,100000,17417.9,0.1742,4,579.56,63.39,286.39,16.09,-15535.29,-0.6214,143.43,-6611.54,-0.2645,336.71,1305.47,0.0522,341.6,38259.26,1.5304
2025-10-13,121707.22,0,121707.22,100000,21707.22,0.2171,4,590.15,64.49,289.78,15.23,-16041.18,-0.6416,146.76,-6184.62,-0.2474,355.67,2786.72,0.1115,357.19,41146.3,1.6459
2025-10-14,122587.02,0,122587.02,100000,22587.02,0.2259,4,596.45,64.99,291.8,15.34,-15976.47,-0.6391,147.13,-6137.18,-0.2455,363.09,3366.41,0.1347,358.205,41334.26,1.6534
2025-10-15,123288.6,0,123288.6,100000,23288.6,0.2329,4,595.6,65.18,292.61,15.08,-16129.41,-0.6452,142.955,-6672.44,-0.2669,366.42,3626.56,0.1451,364.305,42463.89,1.6986
2025-10-16,124475.7,0,124475.7,100000,24475.7,0.2448,4,588.7,64.22,288.83,15.06,-16141.18,-0.6456,142.07,-6785.9,-0.2714,376.0,4375.0,0.175,367.35,43027.78,1.7211
2025-10-17,122799.62,0,122799.62,100000,22799.62,0.228,4,589.93,64.6,289.42,14.33,-16570.59,-0.6628,144.895,-6423.72,-0.2569,356.26,2832.81,0.1133,366.99,42961.11,1.7184
2025-10-20,125422.85,0,125422.85,100000,25422.85,0.2542,4,597.01,65.33,292.82,15.545,-15855.88,-0.6342,145.045,-6404.49,-0.2562,369.16,3840.63,0.1536,371.75,43842.59,1.7537
2025-10-21,126067.31,0,126067.31,100000,26067.31,0.2607,4,599.26,65.52,293.77,15.205,-16055.88,-0.6422,155.11,-5114.1,-0.2046,364.59,3483.59,0.1393,371.27,43753.7,1.7501
2025-10-22,122265.11,0,122265.11,100000,22265.11,0.2227,4,592.6,64.79,291.68,15.105,-16114.71,-0.6446,156.49,-4937.18,-0.1975,332.425,970.7,0.0388,363.67,42346.3,1.6939
2025-10-23,125567.98,0,125567.98,100000,25567.98,0.2557,4,601.24,65.7,293.95,14.7,-16352.94,-0.6541,156.54,-4930.77,-0.1972,353.835,2643.36,0.1057,373.725,44208.33,1.7683
2025-10-24,128098.2,0,128098.2,100000,28098.2,0.281,4,603.5,65.96,295.22,13.54,-17035.29,-0.6814,159.59,-4539.74,-0.1816,379.13,4619.53,0.1848,378.29,45053.7,1.8021
2025-10-27,129564.87,0,129564.87,100000,29564.87,0.2956,4,605.9,66.23,296.55,13.13,-17276.47,-0.6911,162.49,-4167.95,-0.1667,377.15,4464.84,0.1786,386.34,46544.44,1.8618
2025-10-28,127367.92,0,127367.92,100000,27367.92,0.2737,4,600.35,65.73,293.36,13.52,-17047.06,-0.6819,161.37,-4311.54,-0.1725,380.215,4704.3,0.1882,372.72,44022.22,1.7609
2025-10-29,131195.1,0,131195.1,100000,31195.1,0.312,4,596.46,65.31,291.8,13.24,-17211.76,-0.6885,162.83,-4124.36,-0.165,402.77,6466.41,0.2587,383.75,46064.81,1.8426
2025-10-30,131538.02,0,131538.02,100000,31538.02,0.3154,4,590.46,64.54,289.58,13.4,-17117.65,-0.6847,159.5,-4551.28,-0.1821,379.04,4612.5,0.1845,397.41,48594.44,1.9438
2025-10-31,125774.87,0,125774.87,100000,25774.87,0.2577,4,594.29,64.89,291.22,13.72,-16929.41,-0.6772,163.575,-4028.85,-0.1612,377.55,4496.09,0.1798,363.08,42237.04,1.6895
2025-11-03,132986.63,0,132986.63,100000,32986.63,0.3299,4,593.57,64.91,290.4,13.77,-16900.0,-0.676,161.68,-4271.79,-0.1709,393.21,5719.53,0.2288,396.57,48438.89,1.9376
2025-11-04,129948.89,0,129948.89,100000,29948.89,0.2995,4,589.63,64.45,287.47,15.35,-15970.59,-0.6388,158.545,-4673.72,-0.1869,382.87,4911.72,0.1965,381.68,45681.48,1.8273
2025-11-05,133018.29,0,133018.29,100000,33018.29,0.3302,4,593.58,64.82,288.47,15.12,-16105.88,-0.6442,160.595,-4410.9,-0.1764,411.08,7115.62,0.2846,385.665,46419.44,1.8568
2025-11-06,131203.7,0,131203.7,100000,31203.7,0.312,4,587.22,64.23,286.66,14.68,-16364.71,-0.6546,167.69,-3501.28,-0.1401,388.495,5351.17,0.214,381.88,45718.52,1.8287
2025-11-07,129307.32,0,129307.32,100000,29307.32,0.2931,4,594.81,64.99,289.11,15.04,-16152.94,-0.6461,175.46,-2505.13,-0.1002,377.88,4521.88,0.1809,369.595,43443.52,1.7377
2025-11-10,131693.31,0,131693.31,100000,31693.31,0.3169,4,597.61,65.39,291.91,15.73,-15747.06,-0.6299,182.49,-1603.85,-0.0642,402.0,6406.25,0.2562,365.245,42637.96,1.7055
2025-11-11,132134.98,0,132134.98,100000,32134.98,0.3213,4,597.35,65.36,292.6,17.74,-14564.71,-0.5826,180.09,-1911.54,-0.0765,380.92,4759.38,0.1904,371.8,43851.85,1.7541
2025-11-12,129916.54,0,129916.54,100000,29916.54,0.2992,4,599.58,65.65,292.19,16.8,-15117.65,-0.6047,179.84,-1943.59,-0.0777,400.0,6250.0,0.25,354.93,40727.78,1.6291
2025-11-13,123272.13,0,123272.13,100000,23272.13,0.2327,4,588.17,64.44,287.54,16.68,-15188.24,-0.6075,180.45,-1865.38,-0.0746,326.54,510.94,0.0204,350.0,39814.81,1.5926
2025-11-14,123698.46,0,123698.46,100000,23698.46,0.237,4,587.54,64.2,287.35,16.62,-15223.53,-0.6089,179.04,-2046.15,-0.0818,338.65,1457.03,0.0583,348.36,39511.11,1.5804
2025-11-17,123713.74,0,123713.74,100000,23713.74,0.2371,4,575.95,63.06,283.04,19.59,-13476.47,-0.5391,183.0,-1538.46,-0.0615,332.29,960.16,0.0384,338.95,37768.52,1.5107
2025-11-19,122851.9,0,122851.9,100000,22851.9,0.2285,4,579.31,63.29,282.65,19.18,-13717.65,-0.5487,180.77,-1824.36,-0.073,334.405,1125.39,0.045,336.25,37268.52,1.4907
2025-11-20,118075.98,0,118075.98,100000,18075.98,0.1808,4,569.9,62.27,278.39,17.04,-14976.47,-0.5991,178.45,-2121.79,-0.0849,314.42,-435.94,-0.0174,327.295,35610.19,1.4244
